Response,Status,Default Threshold/hour,Interpretation,Preferred Interpretation
19,Re-enter Transaction,50, The sale was declined due to an unknown error. Try running the sale again by re-entering all the information more carefully a second time., Your transaction was declined declined due to an unknown error. Try running the transaction again by re-entering all the information more carefully.
22,Suspected Malfunction,50,The customer?s card issuer could not be contacted during the transaction. The customer should check the card information and try processing the transaction again.,Your customer was declined because your card issuer could not be contacted during this attempt. Please  check the card information and try transaction again.
28,No reply/File Temporarily Unavailable,50," The transaction was declined for an unspecified reason. Try running the sale again. If that doesn?t work, contact the card-issuing bank directly."," Your transaction was declined the the reason not specified. Try the transaction again and if persist, contact the card-issuing bank directly."
30,Format Error,50,The customer?s card issuer does not recognise the transaction details being entered. This is due to a format error. The customer should check the transaction information and try processing the transaction again.,Your transaction was deliced because the card issuer does not recognise the transaction you entered being entered. Please check the transaction information and try processing the transaction again or request for another terminal for payment.
31,Bank Not Supported By Switch,50,"The customer?s card issuer has declined the transaction as it does not allow transactions originating through mail/telephone, fax, email or Internet orders.","Your card issuer declined the transaction as it does not allow transactions originating through mail/telephone, fax, email or Internet orders."
34,"Suspected Fraud, Retain Card",50,The customer?s card issuer has declined the transaction as there is a suspected fraud on this credit card number.,Your transactrion was declined because you have already reported a suspected fraud on the card. Pleae inform your bank to remove the restriction placed on the card.
38,Allowable PIN Tries Exceeded,50, This code is also flagged as code 75 on some systems. The sale is rejected because the customer?s PIN has been entered incorrectly too many times. Ask for an alternate payment method., Your transaction was declined because you have earlier exceeded your allowable count of wrong PIN usage on the card. Please ask for a reset using the channels provided by the bank.
41,"Lost Card, Pick up",50, The card has been reported stolen or lost and cannot be used to complete the sale. Try the transaction again with a different payment method.,Your transactrion was declined because you have already declared the card stolen/lost. Pleae inform your bank to remove the restriction placed on the card. Please request for an alternative mean of payment.
42,No Universal Account,50,"The customer?s card issuer has declined the transaction as the account type selected is not valid for this credit card number. The customer should use an alternate credit card, or contact their bank.",Your tranaction was declined because the account you selected to make payement cannot be found on this card. Please attempt again and select the card account rightly.
43,"Stolen Card, Pick up (fraud)",50, The card has been reported stolen or lost and cannot be used for this transaction. Try running the sale again with an alternate payment method.,Your transactrion was declined because you have already declared the card stolen/lost. Pleae inform your bank to remove the restriction placed on the card. Please request for an alternative mean of payment.
51,Insufficient Funds,50, The customer?s account doesn?t have enough funds to cover the sale. Ask for an alternate payment method or contact the user?s bank directly.,Your transaction was declined because you do not have fund up to the amount of your transaction. Please reduct the transaction amount or fund account more to cover the transaction amount. You may consider the rate of foreign exchange if applicable.
54,Expired Card,50, The customer?s card has expired and is no longer valid. Ask for an alternate payment method.,Your transaction was delcined because it was attempted with a card that is already expired and no longer valid for use. Please ask for an alternative means of payment or request for card renewal to make future payments.
56,No Card Record,50,The customer?s card issuer has declined the transaction as the credit card number does not exist. The customer should use an alternate credit card.,Your transaction was declined because there is no record of the card you provided. Please ensure card number is correct or use an alternative means of paynment.
57,Transaction Not Permitted (Cardholder),50, The card is valid ? but not for that particular sale or transaction. Ask for an alternate payment method., Your transaction was declined because the your issuer does not allow the type of transaction you are trying to do. Please ask for an alternate payment method or ask the merchant to select another payment type.
58,Transaction Not Permitted (terminal/merchant),50, Your merchant account or credit card terminal isn?t configured properly. You may need to switch to cash or check to complete the sale. You should also follow up with your payment processor to fix your merchant account setup., Your transaction was declined because of an issue related to the configuration of the terminal you used. Please ask for another terminal for your payment.
59,Suspected Fraud,50, the card-issuing bank has detected fraud. Ask for an alternate payment method (and contact the bank directly).,Your transactrion was declined because you have already reported a suspected fraud on the card. Pleae inform your bank to remove the restriction placed on the card.
62,"Restricted Card, invalid service",50," This code happens in cases where your merchant account doesn?t support the customer?s card network (e.g., Discover or American Express). Invalid service codes also apply to eCommerce transactions among cards that cannot be used to shop online.", Your transaction was decline because the merchant account doesn?t support your card network.
63,Security Violation,50," The CVV, CVC or CID security code on the back of the card wasn?t entered correctly. Try running the entire transaction again with the proper security code, expiration date and account number."," Your card was declined because any of the CVV, CVC or CID wasn?t entered correctly. Try running the entire transaction again with the proper security code, expiration date and account number."
65,Activity Limit Exceeded,50, The sale would push the customer over her or his credit limit. Ask the customer for an alternative payment method., Your transaction was decline because the limit would be exceeded. Please reduce the transaction amount or wait for the period the limit would be automatically reset.
67,Capture Card,50,"The customer?s card issuer has declined the transaction as the card is suspected to be a counterfeit. The customer?s card issue�has requested that your customer?s credit card be retained by you. The customer should use an alternate credit card, or contact their bank.","Your transction was decline becasue the card was captured to be a counterfeit. Please an alternate card, or contact your bank."
85,No reason/system unavailable,50, This happens whenever communication errors exist between the card-issuing bank and merchant?s payment environment. Try running the transaction again after a few minutes.,"Your transaction was declined because of a reason not known, please attemp the transaction again. If persist, please use an alternate payment method."
91,Issuer or Switch is not available,50," Either the payment processor or terminal was unable to complete the transaction. Try running the sale again. If that fails, contact the bank and payment processor directly.", Your transaction was declined because either the payment processor or terminal was unable to complete the transaction. Please try again or contact your issuer.
92,Institution not found/unable to route transaction,50, The credit card terminal cannot reach the card-issuing bank. Try running the sale again after a few minutes ? or contact the card-issuing bank directly., Your transaction was decline because the credit card terminal cannot reach the card-issuing bank. Please try transaction again after a few minutes or contact the card-issuing bank directly.
93,Legal Violation,50, The card-issuing bank has frozen the customer?s account (for any number of reasons). Call the bank directly for next steps., Your transaction was declined because the ssuing bank has frozen the customer?s account for any number of reasons. Please call the bank directly for next steps.
96,System Error/Malfunction,50,System Error/Malfunction,Your transaction was declined because there is a malfunctioning of the system at the time of this transaction. Please attempt this transaction again shortly or request for another payment terminal.
